Match ID,Date,Home Team,Away Team,Type,Location,Result
match1,08/09/24 10:30,Melbourne Dynamo Pistons,Allestree Juniors Milan,League,"Twyford Road, Barrow on Trent, Derby DE73 7HA",0-9
match2,15/09/24 10:30,Allestree Juniors Milan,Ripley Town,League,DCC 2023 Darley Playing Fields Pitch 3,6-1
match3,22/09/24 10:30,Mickleover C P Ajax,Allestree Juniors Milan,League,Mickleover Country Park S.C. Pitch 1,1-7
match4,29/09/24 10:30,Allestree Juniors Milan,Mickleover C P Ajax,League,DCC 2023 Darley Playing Fields Pitch 4,
match5,06/10/24 10:30,Erewash Eagles,Allestree Juniors Milan,League,DCC 2023 Chaddesden Park Pitch 5,
match6,13/10/24 10:30,Allestree Juniors Milan,Melbourne Dynamo Pistons,League,DCC 2023 Darley Playing Fields Pitch 2,
match7,20/10/24 10:30,Shelton FC Bisons,Allestree Juniors Milan,Cup,Hippo Park Pitch 1,
match8,27/10/24 10:30,Codnor Sports Legends,Allestree Juniors Milan,League,Aldercar College Pitch 1,
match9,10/11/24 10:30,Allestree Juniors Milan,Codnor Sports Legends,League,DCC 2023 Darley Playing Fields Pitch 5,
match10,17/11/24 10:30,Springwood United Tornadoes,Allestree Juniors Milan,League,DCC 2023 Alvaston Park Pitch 4,
match11,24/11/24 10:30,Field Lane Raiders,Allestree Juniors Milan,League,Field Lane Community Centre Pitch 2,
match12,01/12/24 10:30,Allestree Juniors Milan,Field Lane Raiders,League,DCC 2023 Darley Playing Fields Pitch 5,
match13,15/12/24 10:30,Allestree Juniors Milan,Erewash Eagles,League,DCC 2023 Darley Playing Fields Pitch 6,
match14,05/01/25 10:30,Allestree Juniors Milan,Springwood United Tornadoes,League,DCC 2023 Darley Playing Fields Pitch 5,
match15,12/01/25 10:30,West Hallam Dynamos,Allestree Juniors Milan,League,Beech Lane Recreation Ground,
match16,19/01/25 10:30,Allestree Juniors Milan,West Hallam Dynamos,League,DCC 2023 Darley Playing Fields Pitch 3,
match17,26/01/25 10:30,Ripley Town,Allestree Juniors Milan,League,Greenwich Park Pitch 2,
